date,id,paper_title,page,n_pages,string_length,character_proportion,men_count,women_count,size,total_count,year,men_areas,women_areas
1950-04-05,KBNRC01:000087561:mpeg21:a0098,Algemeen Handelsblad,6,8,793,0.0001298506504649734,0,1,5639340,1,1950,[],[0.0284373703305706]
1950-04-05,KBNRC01:000087561:mpeg21:a0146,Algemeen Handelsblad,8,8,7,2.6224182292533e-06,1,0,1385280,1,1950,[0.10138600138600139],[]
1950-04-06,KBNRC01:000087562:mpeg21:a0130,Algemeen Handelsblad,8,12,690,9.43391969929586e-05,0,1,4974025,1,1950,[],[0.37842994355677745]
1950-04-11,KBNRC01:000087565:mpeg21:a0053,Algemeen Handelsblad,3,8,229,0.00016834769312200432,1,0,1000296,1,1950,[0.20677079584443006],[]
1950-04-11,KBNRC01:000087565:mpeg21:a0147,Algemeen Handelsblad,8,8,79,1.3358110655883233e-05,0,1,3038576,1,1950,[],[0.6090273865126296]
1950-04-12,KBNRC01:000087566:mpeg21:a0107,Algemeen Handelsblad,6,8,1063,0.00014381238098781383,0,2,5107634,2,1950,[],"[0.09411441775193759, 0.10613524774876196]"
1950-04-13,KBNRC01:000087567:mpeg21:a0106,Algemeen Handelsblad,6,8,700,0.00026997350788534767,1,0,2122227,1,1950,[0.19962049300098433],[]
1950-04-13,KBNRC01:000087567:mpeg21:a0111,Algemeen Handelsblad,6,8,255,3.246308088386658e-05,1,0,4014549,1,1950,[0.7064145935197204],[]
1950-04-19,KBNRC01:000087572:mpeg21:a0094,Algemeen Handelsblad,6,10,546,6.166349126038595e-05,0,2,4789158,2,1950,[],"[0.11190276035996306, 0.4763292420087205]"
1950-04-22,KBNRC01:000087575:mpeg21:a0055,Algemeen Handelsblad,3,12,848,0.00026709973781388944,3,0,2453500,3,1950,"[0.09083757896882005, 0.09176686366415325, 0.0912410841654779]",[]
1950-04-26,KBNRC01:000087578:mpeg21:a0123,Algemeen Handelsblad,8,8,278,2.8676159919723248e-05,2,0,5489148,2,1950,"[0.08776771914329874, 0.08708018074936219]",[]
1950-04-26,KBNRC01:000087578:mpeg21:a0134,Algemeen Handelsblad,8,8,8,7.875409447459305e-07,0,1,5301738,1,1950,[],[0.3034506797582227]
1950-04-27,KBNRC01:000087579:mpeg21:a0069,Algemeen Handelsblad,5,8,30,2.1773779144203386e-05,1,0,855470,1,1950,[0.2223058669503314],[]
1950-04-29,KBNRC01:000087581:mpeg21:a0164,Algemeen Handelsblad,11,12,668,0.000115008467240148,1,0,5265648,1,1950,[0.03588846045159114],[]
1950-04-29,KBNRC01:000087581:mpeg21:a0173,Algemeen Handelsblad,11,12,590,0.0001051794646900058,1,2,3369708,3,1950,[0.16718570273744787],"[0.019539972009444143, 0.24899546192132968]"
